date,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,daily_covid_deaths
nov.-24,,,,,2782,,,,,,,
nov.-25,,,,2743,,,,,,3037,,
nov.-26,,,2772,,,,,,2907,,,
nov.-27,,,,,,,,2886,,,,
nov.-28,,2786,,,,,2949,,,,,
nov.-29,2832,,,,,,,,,,,
nov.-30,,,,,,2759,,,,,,
dez.-1,,,,,2868,,,,,,,
dez.-2,,,,2598,,,,,,3013,,
dez.-3,,,2911,,,,,,2968,,,
dez.-4,,,,,,,,3027,,,,
dez.-5,,2915,,,,,3042,,,,,
dez.-6,2873,,,,,,,,,,,
dez.-7,,,,,,2844,,,,,,
dez.-8,,,,,3097,,,,,,,
dez.-9,,,,2590,,,,,,3148,,
dez.-10,,,2860,,,,,,3017,,,
dez.-11,,,,,,,,3218,,,,
dez.-12,,2813,,,,,3129,,,,,
dez.-13,2830,,,,,,,,,,,
dez.-14,,,,,,2881,,,,,,
dez.-15,,,,,3129,,,,,,,
dez.-16,,,,2787,,,,,,3235,,
dez.-17,,,3003,,,,,,3041,,,
dez.-18,,,,,,,,3079,,,,
dez.-19,,2413,,,,,3072,,,,,
dez.-20,2060,,,,,,,,,,,
dez.-21,,,,,,2592,,,,,,
dez.-22,,,,,2962,,,,,,,
dez.-23,,,,2753,,,,,,2997,,
dez.-24,,,397,,,,,,2901,,,
dez.-25,,,,,,,,3187,,,,
dez.-26,,2413,,,,,2860,,,,,
dez.-27,2060,,,,,,,,,,,
dez.-28,,,,,,1658,,,,,,
dez.-29,,,,,1345,,,,,,,
dez.-30,,,,772,,,,,,852,,
dez.-31,,,,,,,,,456,,,
